,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
1996-04-01,0,1,0.0,109.581,,,0
1996-04-02,7955,1,656.544,112.6944,BXO,BETA,3
1996-04-03,7955,1,797.604,76.7406,BXO,BETA,4
1996-04-04,7955,1,903.036,36.35022,BXO,BETA,4
1996-04-05,7955,1,952.428,29.45808,AXX,ALPHA,1
1996-04-06,0,1,0.0,104.4696,,,0
1996-04-07,0,1,0.0,103.3572,,,0
1996-04-08,0,1,0.0,102.2148,,,0
1996-04-09,0,1,0.0,101.0442,,,0
1996-04-10,0,1,0.0,99.8448,,,0
1996-04-11,0,1,0.0,98.6172,,,0
1996-04-12,0,1,0.0,97.3626,,,0
1996-04-13,7956,1,-545.562,210.873,BXO,BETA,3
1996-04-14,7956,1,-342.423,187.8978,CRO,BETA,3
1996-04-15,0,1,0.0,93.438,,,0
1996-04-16,0,1,0.0,92.0778,,,0
1996-04-17,7956,1,341.4468,200.4684,AXX,ALPHA,2
1996-04-18,7956,1,561.6276,155.1216,BXO,BETA,4
1996-04-19,"7956,7957",2,"731.19,712.236","139.3146,-109.0368","BXO,BXO","BETA,BETA","4,5"
1996-04-20,"7957,7956",2,"842.31,843.036","-110.4804,106.8534","BXO,AXX","BETA,ALPHA","5,1"
1996-04-21,"7958,7957",2,"778.41,929.544","-67.9752,-134.403","BXO,AXX","BETA,ALPHA","7,1"
1996-04-22,7958,1,891.762,-87.8526,DAO,BETA,8
1996-04-23,7958,1,940.5,-88.17,DAO,BETA,5
1996-04-24,7958,1,943.32,-136.4346,AXX,ALPHA,2
1996-04-25,7959,1,795.936,158.6184,AXX,ALPHA,1
1996-04-26,0,1,0.0,77.1714,,,0
1996-04-27,0,1,0.0,75.561,,,0
1996-04-30,0,1,0.0,70.6128,,,0
1996-05-01,0,1,0.0,68.9256,,,0
1996-05-02,0,1,0.0,67.221,,,0
1996-05-03,0,1,0.0,65.4984,,,0
1996-05-04,0,1,0.0,63.759,,,0
1996-05-06,7961,1,-194.2908,255.849,AXX,ALPHA,2
1996-05-07,"7961,7962",2,"32.48172,-925.32","271.3728,-53.2143","BXO,HSX","BETAA,ALPHA","5,1"
1996-05-08,"7962,7961",2,"-873.426,206.4624","-60.882,315.7476","CSO,AXX","BETAA,ALPHA","4,3"
1996-05-09,7962,1,-755.562,-83.2824,DSO,BETAA,9
1996-05-10,7962,1,-608.436,-75.7932,CSO,BETAA,7
1996-05-11,"7963,7962",2,"-577.8942,-445.4028","436.5438,-54.6801","BXO,CSO","BETA-DELTA,BETA-DELTA","2,11"
1996-05-12,"7964,7963,7962",3,"-415.0032,-378.7602,-229.101","-72.1296,442.476,-68.655","AXX,AXX,DSO","ALPHA,ALPHA,BETA-GAMMA","2,2,19"
1996-05-13,"7964,7962",2,"-229.506,16.52598","-53.82834,-69.0582","AXX,CSO","ALPHA,BETA","2,13"
1996-05-14,"7962,7964",2,"245.4762,0.0","-55.82706,-70.9032","CAO,AXX","BETA,ALPHA","13,5"
1996-05-15,"7964,7962",2,"212.4006,459.5214","-90.4464,-61.569","AXX,CSO","ALPHA,BETA","1,9"
1996-05-16,"7964,7962",2,"429.393,645.858","-79.1172,-69.1104","AXX,CAO","ALPHA,ALPHA","1,5"
1996-05-17,7962,1,785.64,-60.69,HSX,ALPHA,4
1996-05-18,7962,1,887.94,-86.3802,HSX,ALPHA,2
1996-05-19,0,1,0.0,35.98392,,,0
1996-05-20,0,1,0.0,34.0443,,,0
1996-05-21,0,1,0.0,32.09682,,,0
1996-05-22,0,1,0.0,30.14196,,,0
1996-05-23,7965,1,-589.8654,-570.9348,AXX,ALPHA,1
1996-05-26,0,1,0.0,22.26036,,,0
1996-05-27,0,1,0.0,20.277,,,0
1996-05-28,0,1,0.0,18.2895,,,0
1996-05-29,0,1,0.0,16.29834,,,0
1996-05-30,0,1,0.0,14.30412,,,0
1996-05-31,0,1,0.0,12.3072,,,0
1996-06-01,0,1,0.0,10.30818,,,0
1996-06-02,7967,1,-353.0526,550.5618,AXX,ALPHA,1
1996-06-03,7967,1,-174.9672,549.6372,AXX,ALPHA,1
1996-06-04,7968,1,-622.356,36.36858,AXX,ALPHA,3
1996-06-05,"7969,7968",2,"510.7122,-445.5546","150.4224,35.17068","AXX,BXO","ALPHA,BETA","1,2"
1996-06-06,"7968,7969",2,"-197.2284,652.65","50.00634,132.2544","CRO,BXO","BETA,BETA","4,4"
1996-06-07,"7968,7970",2,"16.55508,914.34","48.01272,-148.4022","DSO,BXO","BETA,BETA","9,3"
1996-06-08,7968,1,245.6292,29.56674,DSO,BETA,17
1996-06-09,7968,1,459.5004,44.6943,DAO,BETA,19
1996-06-10,"7971,7968",2,"243.8778,634.224","-123.0708,27.38808","BXO,CAO","BETA,BETA","2,12"
1996-06-11,7968,1,785.034,27.66108,CAO,BETA,7
1996-06-12,7968,1,888.15,45.55242,HSX,ALPHA,1
1996-06-13,7968,1,941.574,48.51336,AXX,ALPHA,1
1996-06-14,0,1,0.0,-15.6468,,,0
1996-06-16,0,1,0.0,-19.59408,,,0
1996-06-17,0,1,0.0,-21.55896,,,0
1996-06-18,0,1,0.0,-23.5173,,,0
1996-06-19,7972,1,-340.428,424.3404,BXO,BETA,2
1996-06-20,"7973,7972",2,"-877.812,-130.9632","138.6612,421.0542","CSO,BXO","BETA,BETA","2,3"
1996-06-21,"7972,7973",2,"44.21526,-798.96","404.1564,149.4234","AXX,HSX","ALPHA,ALPHA","1,1"
1996-06-22,"7974,7973,7972",3,"-258.1818,-657.492,230.7072","118.5864,158.9652,418.2678","AXX,HSX,AXX","ALPHA,ALPHA,ALPHA","1,1,1"
1996-06-23,"7975,7973",2,"-850.968,-494.6304","101.3304,136.7826","AXX,HSX","ALPHA,ALPHA","2,1"
1996-06-24,"7973,7976",2,"-288.5604,-824.532","131.6742,181.0164","HSX,BXO","ALPHA,BETA","1,2"
1996-06-25,"7976,7973",2,"-726.9,-81.6384","190.6464,111.8418","AXX,HSX","ALPHA,ALPHA","3,2"
1996-06-26,"7976,7973",2,"-568.3338,113.8146","183.114,126.5262","AXX,HSX","ALPHA,ALPHA","2,1"
1996-06-27,"7976,7973",2,"-390.3252,335.5644","177.0504,110.5932","AXX,HSX","ALPHA,ALPHA","4,1"
1996-06-28,"7976,7973",2,"-176.2836,538.1898","172.3104,97.1862","HRX,HSX","ALPHA,ALPHA","4,1"
1996-06-30,"7976,7973",2,"144.5238,824.964","168.4602,126.3798","HRX,HSX","ALPHA,ALPHA","2,1"
1996-07-01,"7976,7973",2,"449.4024,911.886","155.6106,87.1056","AXX,HSX","ALPHA,ALPHA","2,1"
1996-07-02,7973,1,934.68,130.3398,HSX,ALPHA,1
1996-07-03,7977,1,-260.6874,16.40352,BXO,BETA,3
1996-07-04,7977,1,33.0474,-3.900858,BXO,BETA,3
1996-07-05,7978,1,-436.6938,-228.4218,BXO,BETA,2
1996-07-06,7978,1,-242.334,-202.473,BXO,BETA,2
1996-07-07,0,1,0.0,-58.82526,,,0
1996-07-08,7978,1,178.1454,-222.8124,CRI,BETA,17
1996-07-09,7978,1,379.6296,-220.206,DAI,BETA-GAMMA-DELTA,32
1996-07-10,7978,1,574.3122,-213.6876,EAC,BETA-GAMMA-DELTA,25
1996-07-11,7978,1,722.094,-220.6488,EHI,BETA-GAMMA-DELTA,26
1996-07-12,7978,1,841.35,-207.8328,EHO,BETA-GAMMA,22
1996-07-13,7978,1,896.85,-212.2014,EHO,BETA,9
1996-07-14,7978,1,929.568,-164.6868,AXX,ALPHA,1
1996-07-15,0,1,0.0,-72.1548,,,0
1996-07-16,0,1,0.0,-73.7388,,,0
1996-07-17,0,1,0.0,-75.303,,,0
1996-07-18,0,1,0.0,-76.8474,,,0
1996-07-19,0,1,0.0,-78.3714,,,0
1996-07-20,7979,1,-515.0034,-577.485,AXX,ALPHA,2
1996-07-21,0,1,0.0,-81.3552,,,0
1996-07-22,0,1,0.0,-82.815,,,0
1996-07-23,0,1,0.0,-84.252,,,0
1996-07-24,0,1,0.0,-85.6668,,,0
1996-07-25,0,1,0.0,-87.0588,,,0
1996-07-26,0,1,0.0,-88.4268,,,0
1996-07-27,7980,1,32.62782,75.7566,AXX,ALPHA,1
1996-07-28,7981,1,-883.47,-207.2772,DSO,BETA,3
1996-07-29,7981,1,-807.888,-209.0928,DAO,BETA,6
1996-07-30,7981,1,-682.896,-226.6464,ESI,BETA-GAMMA,12
1996-07-31,7981,1,-508.9704,-242.2698,EKI,BETA-GAMMA,18
1996-08-01,7981,1,-351.2874,-235.7496,ESO,BETA-GAMMA,24
1996-08-02,7981,1,-146.7546,-242.7216,ESI,BETA-GAMMA,22
1996-08-03,7981,1,81.7764,-244.6974,ESO,BETA-GAMMA,24
1996-08-04,7981,1,305.4432,-240.78,ESO,BETA-GAMMA,20
1996-08-05,7981,1,510.7926,-231.0828,CSO,BETA-GAMMA,19
1996-08-06,7981,1,674.286,-217.3722,CSO,BETA,10
1996-08-07,7981,1,808.812,-214.2528,CSO,BETA,3
1996-08-08,"7982,7981",2,"-349.5108,889.524","85.7154,-209.4504","BXO,HSX","BETA,ALPHA","5,1"
1996-08-09,"7982,7981",2,"-146.9196,929.022","45.48516,-181.2984","BXO,HSX","BETA,ALPHA","3,1"
1996-08-10,7982,1,97.902,60.3978,BXO,BETA,10
1996-08-11,"7983,7982",2,"-192.2544,321.2484","320.6574,48.67572","AXX,DSO","ALPHA,BETA","3,10"
1996-08-12,7982,1,525.0546,59.57706,DSI,BETA,20
1996-08-13,7982,1,684.36,91.0404,DSO,BETA,12
1996-08-14,7982,1,812.226,93.5922,DAO,BETA,6
1996-08-15,"7984,7982",2,"-321.882,905.094","384.4968,119.2932","BXO,BXO","BETA,BETA","6,4"
1996-08-16,"7984,7982",2,"-144.5382,938.538","362.5248,131.0016","CRO,AXX","BETA,ALPHA","5,1"
1996-08-20,7985,1,226.9746,55.26882,AXX,ALPHA,3
1996-08-21,7985,1,454.7532,65.4492,BXO,BETA,3
1996-08-22,7985,1,639.438,81.15,AXX,ALPHA,2
1996-08-23,7985,1,767.652,98.6706,BXO,BETA,2
1996-08-24,"7985,7986",2,"868.32,-908.574","155.514,-233.6568","BXO,AXX","BETA,ALPHA","3,1"
1996-08-25,"7985,7986",2,"928.656,-836.25","149.748,-246.2946","AXX,HSX","ALPHA,ALPHA","1,1"
1996-08-26,7986,1,-753.396,-263.8314,CSO,BETA-DELTA,4
1996-08-27,7986,1,-635.658,-280.8306,CSO,BETA,6
1996-08-28,7986,1,-394.302,-301.6254,HSX,ALPHA,3
1996-08-29,7986,1,-194.088,-310.443,HSX,ALPHA,3
1996-08-30,7986,1,0.0,-313.395,CSO,BETA,10
1996-08-31,7986,1,178.2072,-311.5764,CSO,BETA,6
1996-09-01,"7987,7986",2,"-652.674,422.2848","213.516,-316.8912","BXO,CSO","BETA,BETA","2,4"
1996-09-02,7986,1,636.534,-282.5046,HSX,ALPHA,1
1996-09-03,7986,1,773.358,-262.2936,HSX,ALPHA,3
1996-09-04,7986,1,879.06,-220.674,HRX,ALPHA,1
1996-09-05,7986,1,926.412,-182.5626,AXX,ALPHA,1
1996-09-06,0,1,0.0,-120.6306,,,0
1996-09-07,0,1,0.0,-120.7152,,,0
1996-09-08,7988,1,-14.99988,-524.2896,BXO,BETA,5
1996-09-09,7988,1,194.9922,-507.5508,BXO,BETA,5
1996-09-10,0,1,0.0,-120.7644,,,0
1996-09-11,0,1,0.0,-120.7122,,,0
1996-09-12,0,1,0.0,-120.6252,,,0
1996-09-13,7989,1,-174.1716,357.6156,AXX,ALPHA,1
1996-09-14,0,1,0.0,-120.348,,,0
1996-09-15,0,1,0.0,-120.1572,,,0
1996-09-16,0,1,0.0,-119.9322,,,0
1996-09-17,0,1,0.0,-119.6724,,,0
1996-09-18,0,1,0.0,-119.3772,,,0
1996-09-19,0,1,0.0,-119.0478,,,0
1996-09-20,0,1,0.0,-118.6836,,,0
1996-09-21,0,1,0.0,-118.2852,,,0
1996-09-22,0,1,0.0,-117.8514,,,0
1996-09-23,0,1,0.0,-117.3828,,,0
1996-09-24,0,1,0.0,-116.8794,,,0
1996-09-25,0,1,0.0,-116.3418,,,0
1996-09-26,0,1,0.0,-115.7688,,,0
1996-09-27,0,1,0.0,-115.1616,,,0
1996-09-28,0,1,0.0,-114.5202,,,0
1996-09-29,0,1,0.0,-113.844,,,0
1996-09-30,0,1,0.0,-113.1336,,,0
1996-10-01,0,1,0.0,-112.389,,,0
1996-10-02,0,1,0.0,-111.6102,,,0
1996-10-03,0,1,0.0,-110.7972,,,0
1996-10-04,0,1,0.0,-109.9506,,,0
1996-10-05,0,1,0.0,-109.0704,,,0
1996-10-06,0,1,0.0,-108.1572,,,0
1996-10-07,0,1,0.0,-107.2104,,,0
1996-10-08,0,1,0.0,-106.2312,,,0
1996-10-09,0,1,0.0,-105.219,,,0
1996-10-10,0,1,0.0,-104.1744,,,0
1996-10-11,0,1,0.0,-103.0974,,,0
1996-10-12,0,1,0.0,-101.988,,,0
1996-10-13,0,1,0.0,-100.848,,,0
1996-10-14,0,1,0.0,-99.6756,,,0
1996-10-15,0,1,0.0,-98.4726,,,0
1996-10-16,0,1,0.0,-97.239,,,0
1996-10-17,0,1,0.0,-95.9748,,,0
1996-10-18,0,1,0.0,-94.68,,,0
1996-10-19,0,1,0.0,-93.3552,,,0
1996-10-20,0,1,0.0,-92.0016,,,0
1996-10-21,7990,1,-409.9308,170.8344,AXX,ALPHA,1
1996-10-22,0,1,0.0,-89.2056,,,0
1996-10-23,0,1,0.0,-87.765,,,0
1996-10-24,0,1,0.0,-86.2956,,,0
1996-10-25,0,1,0.0,-84.7986,,,0
1996-10-26,7991,1,-129.9966,427.0056,BXO,BETA,3
1996-10-27,"7991,7992",2,"73.1994,457.9632","412.7034,-286.8984","BXO,CRO","BETA,BETA","2,4"
1996-10-28,7992,1,614.16,-308.3262,AXX,ALPHA,1
1996-10-29,0,1,0.0,-78.5388,,,0
1996-10-30,0,1,0.0,-76.9086,,,0
1996-10-31,0,1,0.0,-75.252,,,0
1996-11-01,0,1,0.0,-73.5708,,,0
1996-11-02,0,1,0.0,-71.8656,,,0
1996-11-03,0,1,0.0,-70.1358,,,0
1996-11-04,0,1,0.0,-68.3826,,,0
1996-11-07,0,1,0.0,-62.9868,,,0
1996-11-08,0,1,0.0,-61.1448,,,0
1996-11-09,0,1,0.0,-59.28204,,,0
1996-11-10,7993,1,-879.912,-41.10558,AXX,ALPHA,1
1996-11-11,"7993,7994",2,"-755.076,-518.367","-68.7168,-247.4598","AXX,AXX","ALPHA,ALPHA","1,2"
1996-11-12,"7993,7994",2,"-598.7652,-311.1996","-76.0602,-235.2264","BXO,AXX","BETA,ALPHA","3,2"
1996-11-13,7995,1,-857.646,9.70638,CRO,BETA,3
1996-11-14,7995,1,-734.226,-15.5742,CRO,BETA,5
1996-11-15,"7995,7996",2,"-544.6692,-437.5524","-39.51504,481.068","AXX,AXX","ALPHA,ALPHA","3,1"
1996-11-16,"7995,7996",2,"-317.3592,-282.5712","-43.20924,479.292","AXX,BXO","ALPHA,BETA","4,5"
1996-11-17,"7998,7996,7995,7997",4,"-679.62,-72.8166,-84.9978,-738.57","-264.735,464.2014,-43.5363,107.5932","AXX,AXX,AXX,BXO","ALPHA,ALPHA,ALPHA,BETA","2,2,2,3"
1996-11-18,"7998,7995,7997",3,"-498.8556,135.7536,-567.2712","-286.1244,-41.27316,102.1506","AXX,AXX,BXO","ALPHA,ALPHA,BETA","2,1,3"
1996-11-19,"7995,7997",2,"365.316,-361.812","-53.74644,99.2424","AXX,AXX","BETA,ALPHA","2,2"
1996-11-20,7997,1,-117.768,98.7636,BXO,BETA,3
1996-11-21,7997,1,117.7926,100.8324,AXX,ALPHA,1
1996-11-22,"7999,7997",2,"-849.726,314.673","-84.0348,104.4474","BXO,AXX","BETA,ALPHA","5,1"
1996-11-24,"7999,7997",2,"-530.2344,624.726","-92.5068,62.6886","DAO,DAO","BETA,BETA","21,17"
1996-11-27,"8000,7999,7997",3,"891.924,135.6654,960.132","-226.6788,-90.7596,81.6426","BXO,EKI,DAO","BETA,BETA,BETA","4,38,4"
1996-11-30,7999,1,723.684,-79.0482,EKI,BETA,28
1996-12-01,7999,1,851.112,-74.9322,EKI,BETA,20
1996-12-02,"7999,8002,8001",3,"940.11,275.9256,854.784","-54.12438,-408.0402,-321.6972","EKI,AXX,BXO","BETA,ALPHA,BETA","13,1,3"
1996-12-03,7999,1,969.864,-84.8484,DSO,BETAA,3
1996-12-10,8003,1,59.70066,-469.7148,CAO,BETA,10
1996-12-11,8003,1,264.4524,-468.0738,CRO,BETA,7
1996-12-12,"8003,8004",2,"440.6442,-910.554","-466.9206,122.271","CAO,HSX","BETA,ALPHA","10,1"
1996-12-13,"8004,8003",2,"-839.892,610.44","124.9794,-451.548","HSX,DSO","ALPHA,BETA","2,10"
1996-12-16,"8004,8003",2,"-333.1572,852.51","119.622,-472.1976","HSX,ESO","ALPHA,BETA","3,2"
1996-12-17,"8004,8005",2,"-101.856,-418.296","122.8122,-202.1772","CSO,AXX","BETAA,ALPHA","6,1"
1996-12-18,"8004,8005,8006",3,"118.5258,-182.1582,-295.7076","141.8526,-198.5286,-440.6754","CSO,AXX,BXO","BETAA,ALPHA,BETAA","4,1,3"
1996-12-19,"8004,8006",2,"331.8156,-75.3792","159.5286,-437.763","DSO,AXX","BETA-GAMMA,ALPHAGAMMA","12,1"
1996-12-20,8004,1,543.5226,141.5934,CSO,BETA-GAMMA,13
1996-12-21,8004,1,711.84,122.07,HSX,ALPHAGAMMA,3
1996-12-22,"8004,8007",2,"835.104,690.486","101.2632,90.3618","HSX,BXO","ALPHA,BETAA","2,6"
1996-12-23,"8004,8007",2,"925.734,836.31","95.394,85.3662","HSX,BXO","ALPHA,BETAA","1,5"
1997-01-05,8009,1,85.4106,25.50648,BXO,BETA,3
1997-01-06,8009,1,302.5284,7.51908,BXO,BETA,5
1997-01-07,8009,1,517.9752,-14.32074,BXO,BETA,5
1997-01-08,8009,1,677.64,-38.19516,AXX,ALPHA,2
1997-01-10,8010,1,572.7594,637.104,BXO,BETAA,2
1997-01-11,8010,1,673.596,627.216,BXO,BETAA,3
1997-01-12,8010,1,778.284,561.2004,BXO,BETA,2
1997-01-16,8011,1,-380.7528,-29.04864,DRO,BETA,4
1997-01-17,8011,1,-169.5396,-5.204064,BXO,BETA,6
1997-01-18,8011,1,67.9908,-19.62972,AXX,ALPHA,2
1997-01-19,"8013,8011,8012",3,"-744.906,284.8956,-166.479","-484.5402,-21.4842,516.9234","AXX,AXX,BXO","ALPHA,ALPHA,BETAA","1,1,2"
1997-01-25,8014,1,-807.546,-170.529,BXO,BETAA,2
1997-01-26,8014,1,-676.422,-136.644,AXX,ALPHA,1
1997-01-27,8014,1,-544.4904,-158.874,BXO,BETAA,2
1997-01-28,8014,1,-382.6248,-182.4888,AXX,ALPHA,1
1997-01-29,8014,1,-147.9072,-157.4286,AXX,ALPHA,1
1997-01-30,8015,1,-528.6672,202.104,BXO,BETAA,6
1997-01-31,8015,1,-334.1556,146.3292,CSO,BETAA,5
1997-02-01,8015,1,-118.785,186.5448,BXO,BETAA,3
1997-02-02,8015,1,135.8172,170.6652,BXO,BETA,4
1997-02-03,"8016,8015",2,"-341.9496,364.9008","-257.322,181.8834","CRO,CSO","BETA,BETA","9,7"
1997-02-04,"8016,8015",2,"-142.8126,572.1456","-250.3254,170.2758","DAI,DAO","BETA,BETA","11,14"
1997-02-05,"8016,8015",2,"63.675,744.96","-248.2554,153.2274","CSO,DAO","BETA,BETA","10,14"
1997-02-06,"8015,8016",2,"873.072,283.8222","131.6952,-235.338","DAO,HRX","BETA,ALPHA","8,5"
1997-02-07,"8016,8017,8015",3,"486.4098,691.35,947.364","-244.8252,600.156,123.7044","AXX,AXX,DSO","ALPHA,ALPHA,BETAA","1,1,3"
1997-02-08,"8017,8016,8015",3,"776.652,652.56,970.398","555.4362,-242.004,67.4226","BXO,AXX,DRO","BETAA,ALPHA,BETAA","4,1,3"
1997-02-09,8016,1,777.054,-275.9958,AXX,ALPHA,1
1997-02-10,8016,1,870.798,-280.5666,AXX,ALPHA,1
1997-02-19,8018,1,829.77,225.996,BXO,BETA,3
1997-02-20,8018,1,939.168,112.6788,AXX,ALPHA,1
1997-02-25,8019,1,-721.314,470.3172,AXX,ALPHA,1
1997-02-26,8019,1,-561.6222,506.3952,BXO,BETAA,2
1997-03-07,8020,1,-925.59,133.8876,HSX,ALPHA,1
1997-03-08,8020,1,-849.018,174.0684,CAO,BETAA,2
1997-03-09,"8020,8021",2,"-716.496,-561.9264","181.851,-402.3138","HSX,AXX","ALPHA,ALPHA","4,2"
1997-03-10,"8021,8020",2,"-424.1688,-511.206","-373.9782,203.6106","BXO,CAO","BETAA,BETAA","2,4"
1997-03-11,8020,1,-376.2042,228.7476,CAO,BETAA,7
1997-03-12,8020,1,-134.0064,237.0204,CSO,BETAA,5
1997-03-13,8020,1,83.8998,237.4548,BXO,BETAA,11
1997-03-14,8020,1,312.5238,247.353,CRO,BETAA,8
1997-03-15,"8020,8021,8022",3,"494.067,448.9158,346.0104","236.334,-376.2954,28.62606","AXX,BXO,BXO","ALPHA,BETAA,BETAA","7,4,2"
1997-03-16,"8020,8022,8021",3,"667.314,540.2412,586.5456","202.9902,32.59446,-421.5852","AXX,BXO,BXO","ALPHA,BETAA,BETAA","4,3,5"
